matchweek,forecast_mean,forecast_lower_10,forecast_upper_90
32,47.405716,46.981697,48.129944
33,46.8788,46.589493,48.699207
34,47.677597,47.56277,49.962055
35,47.883358,47.47988,50.22344
36,48.643383,47.239853,50.910606
37,49.285107,48.86026,51.780388
38,49.613663,48.510666,52.856194
